,State,Year,Quater,Transaction_type,Transaction_count,Transaction_amount
411,bihar,2018,3,Recharge & bill payments,4401439,804061000.0
412,bihar,2018,3,Merchant payments,586862,367609000.0
413,bihar,2018,3,Financial Services,274510,33276500.0
414,bihar,2018,3,Others,211229,234969000.0
415,bihar,2018,4,Peer-to-peer payments,8094296,26224300000.0
416,bihar,2018,4,Recharge & bill payments,5469096,986311000.0
417,bihar,2018,4,Merchant payments,1680664,848969000.0
418,bihar,2018,4,Financial Services,237247,36199400.0
419,bihar,2018,4,Others,251098,302214000.0
420,bihar,2019,1,Peer-to-peer payments,16807040,38824100000.0
421,bihar,2019,1,Recharge & bill payments,7036367,1333690000.0
422,bihar,2019,1,Merchant payments,2055267,1025000000.0
423,bihar,2019,1,Financial Services,204689,28599500.0
424,bihar,2019,1,Others,252871,291465000.0
